,0
497,"Theo Bộ Thương mại Thái Lan, xuất khẩu gạo Thái Lan đạt mức cao kỷ lục trong năm 2017, với mức tăng 14,77% lên ít nhất 11,25 triệu tấn tính đến ngày 27/12. Giá xuất khẩu gạo thơm jasmine Thái, hay gạo Hom Mali, rất được ưa chuộng tăng vượt mốc 1.000 USD/tấn."
498, 
499,FAO: Triển vọng thị trường gạo năm 2018 vẫn tích cực
500,"Tổng thống Philippines Rodrigo Duterte đang khuyến khích các công ty Philippines tăng nhập khẩu gạo Campuchia nhằm tăng cường thương mại và đầu tư giữa hai nước, theo thông cáo báo chí gần đây từ Bộ Ngoại giao và Hợp tác quốc tế (MFAIC) của Philippines."
501,"Giá gạo Ấn Độ tăng trong tuần này, chủ yếu do đồng Rupee tăng giá; trong khi xuất khẩu gạo của Thái Lan và Việt Nam chậm lại trước lễ giáng sinh và kỳ nghỉ năm mới."
502,"Xuất khẩu gạo Campuchia sẽ sớm đạt 600,000 tấn"
503,"Chính sách tự cung tự cấp của Indonesia đối với ngô và gạo đang bóp méo hoạt động của thị trường và làm tăng giá nội địa lên cao hơn giá quốc tế, theo báo cáo mới nhất của USDA nhận định."
504,"Theo Hiệp hội các nhà xuất khẩu gạo Thái Lan, Thái Lan đặt mục tiêu xuất khẩu 9,5 triệu tấn gạo trong năm 2018, giảm so với mức xuất khẩu 11 triệu tấn trong năm 2017. Nguyên nhân chính là do đồng Baht mạnh lên được cho là sẽ kìm hãm xuất khẩu gạo, theo nhận định của chủ tịch Hiệp hội Charoen Laothammatas. Từ đầu năm đến nay, Thái Lan đã xuất khẩu 10,3 triệu tấn gạo, tăng 16,3% so với cùng kỳ năm 2016, dữ liệu Bộ Thương mại Thái Lan cho hay."
505,Xuất khẩu gạo Myanmar năm 2017-18 cao nhất trong 50 năm
506,"Theo Bộ Công thương, xuất khẩu gạo của Việt Nam trong 11 tháng năm 2017 đạt 5,52 triệu tấn, với trị giá 2,49 tỷ USD, tăng 24,1% về lượng và 24,9% về giá trị so với cùng kỳ năm ngoái."
507,Giá gạo Ấn Độ tăng mạnh trong tuần này do nhu cầu cao từ phía Bangladesh; trong khi các thị trường tại Thái Lan và Việt Nam vẫn tương đối trầm lắng do nhu cầu yếu trước kỳ nghĩ lể cuối năm sắp tới.
508,Campuchia lập diễn đàn giải quyết các vấn đề trong ngành gạo
509,"Chính phủ Thái Lan đã phê chuẩn khoản hỗ trợ trị giá 1,68 tỷ Baht cho các biện pháp bổ sung nhằm khuyến khích nông dân trồng lúa chuyển đổi sang các cây trồng khác trong vụ phụ năm 2018."
510,Giá gạo Ấn Độ tăng mạnh trong tuần này do nhu cầu nhập khẩu tăng mạnh của Bangladesh giúp hấp thụ nguồn cung gạo dồi dào từ vụ thu hoạch mới tại Ấn Độ – nước xuất khẩu gạo lớn nhất thế giới hiện nay.
511,"Theo Bộ Nông lâm thủy sản Campuchia (MAFF), Campuchia và Trung Quốc sẽ ký một thỏa thuận trong thời gian tới để hỗ trợ nghiên cứu giống lúa mới tại Campuchia. Biên bản ghi nhớ (MoU) hiện đang được MAFF và cơ quan đồng cấp Trung Quốc đàm phán, sẽ đặt ra các quy tắc hợp tác giữa hai nước trong tiến hành các nghiên cứu về giống lúa mới japonica."
512,"Thiệt hại do lũ lụt gây ra cao hơn dự báo đối với sản xuất gạo thơm của Thái Lan là nguyên nhân chính dẫn đến USDA hạ dự báo sản lượng gạo thơm Thái Lan niên vụ 2017-18. Tuy nhiên, năng suất trung bình tăng sẽ giúp sản xuất lúa gạo nói chung của Thái Lan niên vụ 2017-18 vượt sản lượng lúa gạo niên vụ 2016-17."
513,"Sau gần 2 năm triển khai, Bộ Nông nghiệp Campuchia vừa công bố giống lúa gạo thơm mới mà Bộ có kế hoạch phân phối cho nông dân trên khắp cả nước, theo Viện Nghiên cứu và Phát triển Nông nghiệp Campuchia (CARDI) cho biết."
514,"Bühler Group vừa cho ra mắt công cụ phân tích gạo sử dụng công nghệ số mới TotalSense, giúp giảm chi phí, cải thiện năng suất và cải thiện chất lượng cho các nhà chế biến gạo. Cải tiến công nghệ này là một phần sáng kiến số hóa của Bühler, tạo ra các giải pháp sáng tạo có giá trị cao dành cho các khách hàng."
515,"Nhu cầu gạo basmati từ Iran và các nước Tây Á tăng đang giúp nông dân tại các bang Punjab và Haryana bán được lúa giá cao trong năm 2017. Mặc dù diện tích trồng lúa giảm gần 10% trong vụ chính năm 2017 so với vụ chính năm 2016, nguồn cung cho thị trường vẫn dồi dào, theo các thương nhân và các nhà chức trách tại Fatehabad và Karnal cho hay."
516,"Trong 11 tháng đầu năm 2017, xuất khẩu cà phê của việt Nam giảm khoảng 22,4%; ngược lại, xuất khẩu gạo tăng 24,1% so với cùng kỳ năm 2016, số liệu Tổng cục Thống kê cho thấy."
517,"Giá gạo Ấn Độ ổn định trong tuần vừa qua do đồng Rupee tăng giá, kìm hãm nhu cầu quốc tế đối với gạo Ấn Độ, mặc dù Bangladesh vẫn đang tăng nhập khẩu gạo từ Ấn Độ để tiếp tục khắc phục thiệt hại do thiê tai."
518,"Ý, cùng với 6 nước châu Âu khác, gần đây đã đệ trình yêu cầu lên Ủy ban châu Âu về hạn chế lượng nhập khẩu gạo từ Campuchia thông qua kích hoạt “điều khoản bảo vệ”, cho phép các nước thành viên EU áp đặt các rào cản để chống lại mất cân bằng thương mại."
519,"Bangladesh sẽ nhập khẩu 150.000 tấn gạo từ Ấn Độ theo một thỏa thuận chính phủ với giá 440 USD/tấn, theo các nhà chức trách hai bộ thực phẩm của hai nước cho biết. Chính phủ Bangladesh vẫn đang nỗ lực tăng cường kho dự trữ cạn kiệt và đối phó với giá gạo duy trì ở mức cao. Vốn là nước sản xuất gạo lớn thứ 4 thế giới, nhập khẩu gạo của Bangladesh trong năm 2017 sẽ chạm mức cao nhất trong thập kỷ vừa qua sau khi lũ lụt nghiêm trọng gây thiệt hại cho sản xuất lúa."
520,"Các nhà chức trách Bộ Thương mại cùng các đại diện khu vực tư nhân sẽ tới Bangladesh trong tháng tới để thảo luận về một thỏa thuận mua bán gạo mới, khi phía Bangladesh đã hủy một hợp đồng gạo với Campuchia gần đây."
521,"Thái Lan vừa gia hạn xử lý 2 triệu tấn gạo còn lại trong kho, dùng làm TACN hoặc sản xuất công nghiệp từ cuối năm 2017 sang một thời hạn chưa định trước trong năm 2018, Bộ Thương mại Thái Lan thông báo."
522,"Hiện ở ĐBSCL lúa TĐ đang thu hoạch cuối vụ. Nguồn cung lúa gạo hàng hóa có giảm nhẹ, trong khi nhu cầu XK và tiêu thụ nội địa tăng."
523,"Theo nhận định của ông U Nay Lin Zin, tổng thư ký hợp tác của Liên đoàn gạo Myanmar, mua bán lúa gạo bất hợp pháp với Trung Quốc có thể gây hại cho xuất khẩu gạo chính ngạch trong vụ thu hoạch tới."
524,"Phần lớn lượng gạo này được mua từ Trung Quốc, với một lượng nhỏ hơn đến từ Việt Nam, Úc và Mỹ. Đợt đấu thầu này nhằm mua 132.790 tấn gạo tẻ, yêu cầu giao hàng từ tháng 12/2017 đến tháng 3/2018."
525,"Xuất khẩu gạo của Thái Lan đã chạm mốc 10 triệu tấn, đạt mục tiêu ban đầu của chính phủ Thái Lan về xuất khẩu gạo năm 2017, nhưng Bộ trưởng Thương mại Thái Lan cho biết xuất khẩu sẽ tiếp tục tăng khi thỏa thuận bán gạo cho Bangladesh được chốt."
526,"Giá gạo Ấn Độ tăng trong tuần này do đồng Rupee tăng giá so với đồng USD và nhu cầu cao, trong khi giá gạo Thái tăng do nguồn cung giảm."
527,Các nhà xuất khẩu gạo Pakistan đang thuyết phục chính phủ hỗ trợ để thế chân hoạt động kinh doanh trị giá 260 triệu USD của Ấn Độ trên thị trường EU khi khối này triển khai chính sách cấm Tricyclazole trong gạo xuất khẩu sang thị trường này.
528,Chính phủ Iran chấm dứt lệnh cấm nhập khẩu gạo theo chu kỳ
529,"Giá gạo tại Ấn Độ tăng mạnh trong tuần này, chủ yếu do nhu cầu trên thị trường quốc tế cải thiện nhưng nguồn cung tăng từ vụ thu hoạch mới đang kìm hãm đà tăng giá của nước xuất khẩu gạo lớn nhất thế giới này."
530,"Hội nghị Gạo Thế giới vừa tuyên bố gạo thơm Hom Mali của Thái Lan là gạo tốt nhất thế giới, duy trì vị thế số 1 của Thái Lan sau một vài năm chất lượng gạo của nước này giảm, hệ quả trực tiếp của chương trình thu mua lúa gạo trước đây của chính quyền cựu thủ tướng Yingluck."
531,Xuất khẩu gạo Ấn Độ tăng gần 30% trong 6 tháng đầu năm tài khóa 2017-18
532,"Giá gạo tại Thái Lan ổn định trong tuần vừa qua nhờ các sáng kiến của chính phủ nhằm thúc đẩy thị trường nội địa; trong khi đó, giá gạo chào bán từ Ấn Độ giảm do nhu cầu yếu và nguồn cung tăng."
533,"Theo báo cáo của USDA ngày 30/10, tại Bangladesh, mưa lớn kéo dài đang khiến triển vọng sản xuất lúa gạo của nước này không đạt như triển vọng."
534,Ngân hàng Nông nghiệp và Hợp tác Nông nghiệp (BAAC) của Thái Lan đã dành ra hơn 80 tỷ Baht cho các khoản vay và trợ cấp trực tiếp cho nông dân trồng lúa – những người chấp nhận hoãn bán lúa để bình ổn giá.
535,"EU đã quyết định dỡ bỏ các hạn chế đối với nhập khẩu một số mặt hàng thực phẩm từ 10 tỉnh, như gạo trồng tại Fukushima – khu vực bị tác động nặng nề nhất của thảm họa hạt nhân hồi năm 2011."
536,"Theo báo cáo chính thức mới nhất, Campuchia đã xuất khẩu 142.768 tấn gạo sang Trung Quốc trong 10 tháng đầu năm 2017, tăng 59% so với cùng kỳ năm 2016."
537,Xuất khẩu gạo basmati của Ấn Độ có thể giảm xuống mức thấp nhất trong vòng 3 năm do EI thắt chặt quy định về thuốc diệt nấm và giá nội địa tăng.
538,"Chính phủ Campuchia đã ký 2 biên bản ghi nhớ (MoU) với 3 tổ chức thuộc sở hữu nhà nước của Trung Quốc, tạo mối quan hệ đối tác nhằm thúc đẩy sản xuất lúa và chế biến gạo cho xuất khẩu, theo một thông báo từ Bộ Kinh tế và Tài chính Campuchia cho hay."
539,Bangladesh và Campuchia đã thất bại trong việc chốt đơn hàng nhập khẩu 250.000 tấn của Bangladesh. Các tác nhân ngành lúa gạo Campuchia cho rằng đơn hàng bị hủy là do các nhà chế biến hiện không đủ dự trữ để đáp ứng nhu cầu xuất khẩu; trong khi hy vọng kéo dài đàm phán có vẻ không khả quan.
540,"Giá gạo tuần này tại Thái Lan tương đối ổn định trước tuyên bố của chính phủ hướng tới mục tiêu thu hút thêm người mua để tăng xuất khẩu. Trong khi đó, giá gạo Ấn Độ giảm do nguồn cung lúa gạo mới thu hoạch tăng."
541,"Nhà khoa học 87 tuổi Trung Quốc Yuan Longping đã phát triển thành công giống lúa có thể trồng trong môi trường nước mặn. Dù giống lúa của ông có thể ngăn ngừa khan hiếm lương thực khi biến đổi khí hậu toàn cầu đang gây lụt lội khắp nơi, giống lúa mới này vẫn còn một chặng đường dài trước khi được ứng dụng rộng rãi."
542,"Hiệp hội Xuất khẩu gạo Thái Lan tự tin rằng xuất khẩu gạo của nước này năm 2017 sẽ đạt 11 triệu tấn, mức xuất khẩu cao kỷ lục từ trước đến nay."
543,"Thái Lan đang có kế hoạch giành lại thị phần gạo trắng cao cấp thông qua tăng xuất khẩu sang các thị trường truyền thống, bao gồm Hong Kong, Singapore và các nước châu Á khác."
544,"Theo chủ tịch Hiệp hội các nhà xuất khẩu gạo Thái Lan Charoen Leothamatas, chính phủ Thái Lan phải tìm đúng thị trường cho gạo hữu cơ trước khi khuyến khích nông dân tăng diện tích trồng lúa gạo hữu cơ từ 48.000 ha năm 2017 lên 160.000ha năm 2019."
545,"Chính phủ Indonesia đang vận động để giảm sự phụ thuộc vào gạo trong thực đơn của người Indonesia, thông qua xúc tiến các nguồn carbonhydrate khác, do tiêu dùng gạo trên đầu người tại Indonesia vẫn cao hơn nhiều so với các nước châu Á khác."
546,Vụ mùa thua hoạch đã và đang diễn ra tại Pakistan
547,"Nhà xuất khẩu gạo Asia Golden Rice đã ký biên bản ghi nhớ (MoU) với Tmall, một trong những website mua sắm hàng đầu của tập đoàn thương mại điện tử khổng lồ Alibaba của Trung Quốc, để phân phối gạo Thái cao cấp thông qua các kênh thị trường của Alibaba."
548,"Hơn 160.000ha đất trồng lúa tại đông bắc Thái Lan đã bị thiệt hại do lũ lụt và được dự báo sẽ làm giảm 5 – 6% sản lượng lúa tại khu vực này, tương đương khoảng 400.000 – 500.000 tấn, theo ước tính của Hiệp hội các nhà xuất khẩu gạo Thái Lan."
549,"Nguồn cung giảm, giá cao có thể sẽ làm xấu đi triển vọng xuất khẩu loại gạo thơm basmati của Ấn Độ."
550,"Xuất khẩu cà phê Việt Nam 10 tháng đầu năm 2017 giảm, xuất khẩu gạo tăng"
551,FAO: Nhập khẩu gạo của châu Á sẽ tiếp tục tăng trong năm 2018
552,
553,"Tại vùng Mandalay, một trong những khu vực sản xuất lúa chính của Myanmar, gần như tất cả các nhà máy gạo đã đóng cửa hoạt động do xuất lậu lúa trực tiếp, theo thông tin từ Hiệp hội các nhà xay xát gạo khu vực."
554,"Một giống lúa chịu hạn và phương pháp canh tác giống lúa này do Trung Quốc phát triển đã được giới thiệu tại 9 nước, chủ yếu tại Đông Nam Á và Châu Phi, theo một học viện nông nghiệp tại miền đông tỉnh An Huy của Trung Quốc cho biết."
555,"FAO vừa nâng dự báo thương mại gạo toàn cầu năm 2017 thêm 750.000 tấn trong báo cáo thị trường gạo tháng 10, so với dự báo đưa ra lần trước vào tháng 7. Điều chỉnh này chủ yếu phản ánh tốc độ mua tăng của nhiều nước châu Phi, đặc biệt là Nigeria, Benin và Senegal. Các đơn đặt hàng đều dặn từ cả khu vực công và tư nhân của Bangladesh khiến FAO điều chỉnh tăng ước tính nhập khẩu gạo của nước này."
556,Giá gạo tại Ấn Độ giảm trong tuần này do dự báo nguồn cung gạo vụ mới đang trên đà tăng; trong khi giá gạo tăng nhẹ tại Thái Lan cho các thương nhân lạc quan về triển vọng nhu cầu từ Sri Lanka.
557,Lô hàng gạo đầu tiên của Campuchia xuất sang Bangladesh theo thỏa thuận xuất khẩu mới sẽ kéo dài hơn dự kiến ban đầu do các cuộc thảo luận của các tác nhân trong ngành về một số khía cạnh kỹ thuật cụ thể của MoU vẫn chưa đi đến hồi kết.
558,"Các nước xuất khẩu gạo lớn nhất thế giới là Ấn Độ và Thái Lan, đang dẫn đầu sự phục hồi của thị trường gạo thế giới năm 2017, nhờ nguồn cung khả dụng xuất khẩu dồi dào từ các vụ sản xuất bội thu trong năm 2016."
559,Bangladesh phê chuẩn mua gạo từ Ấn Độ với giá 455 USD/tấn
560,Giá gạo tại Ấn Độ và Việt Nam tăng trong tuần này do mưa lớn kéo dài đe dọa nguồn cung gạo từ 2 nước xuất khẩu gạo lớn này.
561,Trung Quốc ra mắt loại lúa khổng lồ cao 2m. Trung Quốc lập kỷ lục mới về năng suất lúa gạo.
562,"Ngân hàng Nông nghiệp và Hợp tác Nông nghiệp (BAAC) Thái Lan cho biết bảo hiểm nông nghiệp cho lúa tại Thái Lan sẽ tăng mức thua lỗ lên 1 tỷ Baht trong năm 2017 so với mức 819 triệu USD năm 2016, chủ yếu do đợt lũ quét gần đây tại khu vực Đông Bắc nước này."
563,Ngày 11/10 Bangladesh đã thông qua kế hoạch mua 100.000 tấn gạo trắng của Myanmar để giải quyết tình trạng thiếu cung lương thực.
564,"Các chính trị gia cảnh báo giá món cà ri sẽ tăng từ tháng 12 do các hạn chế nhập khẩu gạo mới của EU. Ủy ban châu Âu đã yêu cầu các nhà sản xuất gạo basmati hạ mạnh mức dư lượng thuốc BVTV Tricyclazole thấp hơn 100 lần so với mức hiện nay, bất chấp các khuyến nghị cho rằng quy định như vậy là không có khả năng thực thi chỉ trong vòng 3 năm."
565,"Xuất khẩu gạo sang Trung Quốc trong 8 tháng đầu năm 2017 đạt 1,56 triệu tấn và 700,7 triệu USD, tăng 32% về khối lượng và tăng 30,4% về giá trị so với cùng kỳ năm 2016."
566,"Theo cơ quan thống kê Philippines, tính đến 1/9/2017, dự trữ gạo của Philippines giảm gần 20% xuống còn 1,442 triệu tấn,so với 1,775 triệu tấn trong cùng kỳ năm trước. Lượng gạo này tương đương với nhu cầu tiêu dùng gạo của người Philippines trong 42 ngày."
567,Business Insider đã hỏi ba đầu bếp nổi tiếng về thương hiệu gạo mà họ khuyến nghị mua tại các cửa hàng thực phẩm và lý do. Đầu bếp Dale Talde khuyên dùng gạo Chung-Jeon. Đầu bếp Leah Cohen hài lòng với lựa chọn gạo cao cấp Nishiki và vẫn đang sử dụng loại gạo này hiện nay. Đầu bếp Sheldon Simeon yêu thích loại gạo hạt ngắn siêu cao cấp Tamanishiki.
568,"Nhu cầu quốc tế đối với gạo Thái mạnh được cho là sẽ hỗ trợ giá., ngay cả khi nguồn cung khoảng 25 triệu tấn sau đợt thu hoạch vụ chính niên vụ 2017/18 của Thái Lan diễn ra trong tháng 11 tới."
569,"Gạo phát thải carbon thấp và thu nhập bền vững cho nông dân trồng lúa tại các nước đang phát triển là trọng tâm các cuộc thảo luận tại Hội thảo và triển lãm Gạo bền vững toàn cầu tổ chức ngày 4/10 vừa qua tại Bangkok. Cuộc họp 2 kéo dài 2 ngày với sự tham gia của 300 tác nhân ngành gạo toàn cầu từ 30 nước để thảo luận về các thách thức ngành gạo toàn cầu đang đối mặt, và đề xuất các cách tiếp cận mang tính hợp tác, đổi mới nhằm tăng cường tính bền vững của ngành gạo."
570,"Bangladesh chuẩn bị mua tổng cộng 250.000 tấn gạo từ Thái Lan và Ấn Độ theo các thỏa thuận liên chính phủ nhằm tăng cường cho các kho dự trữ vẫn đang ở mức tháp của nước này, theo người đứng đầu cơ quan thu mua ngũ cốc Bangladesh cho hay."
571,"Một cỗ máy mới đứng im lìm một góc của một nhà máy xay xát gạo nhỏ tại Amnat Charoen. Hoạt động sản xuất tại đây sẽ bắt đầu cung ứng sản phẩm ra thị trường vào cuối năm 2017, đánh dấu một bước quan trọng cho nông dân địa phương trong thúc đẩy sản xuất gạo. “Amnat Charoen đang thay đổi thế giới” – một âm hưởng đầy tham vọng bên trong nhà máy này, khi hàng ngàn nông dân địa phương đang tề tựu vào một buổi chiều nắng nóng của tháng 9."
572,"Các nước sản xuất gạo lớn tại châu Á có thể sẽ có nhu cầu mới từ Bangladesh khi nước này tiếp tục tăng cường mua gạo để củng cố kho dự trữ vẫn đang ở mức rất thấp. Trong khi đó, Thái Lan đang nhăm nhe thị trường gạo của Ấn Độ khi sản lượng gạo của Ấn Độ được dự báo giảm."
573,Dự thảo luật dân sự đầu tiên áp dụng đối với Khu vực Hành lang Kinh tế Phía Đông (EEC) sẽ được trình Quốc hội Thái Lan để thông qua vào ngày 29/9 tới và có khả năng được triển khai vào tháng 10/2017.
574,"Xuất khẩu gạo của Campuchia tiếp tục tăng, với Trung Quốc là thị trường nhập khẩu gạo Campuchia lớn nhất. Campuchia hiện đã xuất khẩu gạo sang gần 70 nước."
575,Đồng Bath tăng giá tác động tiêu cực tới xuất khẩu gạo Thái Lan trong tháng 8/2017
576,"Lượng mưa trong mùa mưa năm nay tại Ấn Độ dưới mức trung bình và thấp hơn dự báo. Một số khu vực sản xuất nông nghiệp lớn tại miền Trung và miền Bắc Ấn Độ nhận lượng mưa thấp, không đủ cung ứng cho hoạt động nông nghiệp, theo các nhà chức trách khí tượng Ấn Độ thông báo khi mùa mưa tại nước này kết thúc."
577,"Kim ngạch xuất khẩu hàng hóa của Việt Nam sang thị trường Algeria chỉ chiếm 0,1% tổng kim ngạch trong 8 tháng đầu năm nay, đạt 227,8 triệu USD, trong đó mặt hàng cà phê chiếm thị phần lớn."
578,Bảng sau cập nhật thống kê sản xuất – xuất khẩu các sản phẩm nông sản chủ lực của Việt Nam tính đến tháng 9/2017.
579,Trung Quốc phát triển giống lúa mới tránh ô nhiễm kim loại nặng
580,"Trong mấy tuần qua, giá gạo XK tăng liên tục và hiện đã ở mức cao nhất từ cuối năm 2014 trở lại đây. Nhiều nước trong khu vực đang quay lại NK gạo Việt Nam"
581,"Trong 9 tháng đầu năm 2017, xuất khẩu cà phê Việt Nam giảm 20,5% về lượng, trong khi xuất khẩu gạo Việt Nam tăng 21,7% so với cùng kỳ năm 2016."
582,"Vụ ĐX 2016 - 2017, giống DT45 được trồng thử nghiệm trên diện tích 7ha ở xã Ia Sol (Phú Thiện). Qua theo dõi sự sinh trưởng và phát triển của giống, các đơn vị chuyên môn..."
583,"Thủ tướng Chính phủ giao Bộ Công Thương, Bộ Nông nghiệp và Phát triển nông thôn, các cơ quan liên quan theo chức năng, nhiệm vụ được giao, tổ chức thực hiện đồng bộ các giải pháp để đẩy mạnh hoạt động xuất khẩu gạo..."
584,"Sản xuất lúa hữu cơ nhằm nâng dần chất lượng nông sản, nâng cao giá trị hạt gạo, hạ giá thành sản phẩm giúp nông dân tăng lợi nhuận."
585,"Theo Hiệp hội Lương thực Việt Nam (VFA), tình hình xuất khẩu gạo năm 2017 được dự báo sẽ gặp rất nhiều khó khăn. Trong khi đó, lượng gạo tồn kho của các doanh nghiệp đã lên tới gần 1 triệu tấn. Nếu không khéo tìm giải pháp, nguy cơ “giải cứu” gạo là điều khó tránh khỏi."
586,ĐBSCL hiện đang phải đối mặt thực tế nước ngọt giảm mạnh trong khi nước mặn có thể dâng cao hơn và đất đai bị xói mòn. Vậy đâu là hướng ra cho sản xuất nông nghiệp của ĐBSCL? Dưới đây là ý kiến GS Võ Tòng Xuân - chuyên gia hàng đầu về nông nghiệp Việt Nam về vấn đề này.
587,"Cứ thấy cách Campuchia táo bạo vác bao gạo tặng cho Hoa hậu ngày đăng quang, cách Thủ tướng Thái nhìn đăm đăm rồi hỏi thật kỹ về gạo Việt, và cả những chỉ đạo quyết liệt của Thủ tướng Nguyễn Xuân Phúc về sửa đổi điều kiện xuất khẩu gạo, mới thấy cuộc chiến gạo nóng lắm rồi"
588,"Theo thông tin từ các doanh nhân ngành gạo, trong tuần qua, giá gạo XK của Việt Nam vẫn tiếp tục tăng lên."
589,"Sau một thời gian dài trầm lắng và trong xu hướng liên tục giảm sút, XK gạo đang có dấu hiệu sáng sủa hơn trước, nhất là khi có những nhu cầu mới từ những thị trường quan trọng."
590,"Theo Cục Dịch vụ nông nghiệp nước ngoài của Hoa Kỳ (FAS), sản lượng gạo của Thái Lan dự kiến sẽ đạt mức lịch sử năm 2017-18 (khoảng 19,5 triệu tấn). Mức sản lượng này cao hơn 5% so sản lượng năm 2016-2017 do mức nước ở hồ chứa thấp."
591,"Viện nghiên cứu Lúa gạo quốc tế (IRRI) đang hỗ trợ Tập đoàn Lộc Trời, nhà cung cấp dịch vụ và sản phẩm nông nghiệp hàng đầu của Việt Nam, áp dụng các công cụ và thực hành nông nghiệp bền vững. Tập đoàn Lộc Trời là công ty đầu tiên tại Việt Nam áp dụng các tiêu chuẩn của Diễn đàn Lúa gạo bền vững (SRP) vào sản xuất lúa."
592,"Kế hoạch xả bán hơn 8 triệu tấn gạo của Thái Lan sẽ tác động đến tình hình thị trường gạo thế giới, trong đó có Việt Nam. Mục tiêu xuất khẩu hơn 5 triệu tấn gạo, trị giá 2,3 tỷ USD trong năm 2017 của Việt Nam đang trở nên khó khăn khi đối thủ lớn trong xuất khẩu gạo là Thái Lan có kế hoạch bán xả kho 8 triệu tấn gạo dự trữ. Đây sẽ là một trong những nguyên nhân chính khiến tình hình tiêu thụ gạo của nước ta gặp nhiều trở ngại, nhất là trong vụ Đông Xuân tới đây - vụ sản xuất chính trong năm của Việt Nam. Trong những ngày đầu năm 2017, nhiều doanh nghiệp đã có khách hàng giao dịch và ký được một số hợp đồng xuất khẩu gạo quan trọng. Tuy nhiên, tại thời điểm hiện tại, tình hình kinh doanh gạo có dấu hiệu chững lại, có doanh nghiệp không ký thêm được hợp đồng nào."
593,"Bộ Thương mại Thái Lan cho biết tổng cộng 66 nhà thầu đã tham gia phiên đấu giá 2,87 triệu tấn gạo trong kho của chính phủ hôm 16/2, thể hiện nhu cầu cao trong thị trường gạo hiện nay cũng như nhiều loại gạo còn phù hợp cho tiêu dùng."
594,"Trung Quốc, nước sản xuất và tiêu thụ ngô lớn thứ hai trên thế giới, sẽ tiếp tục cắt giảm dự trữ và diện tích trồng ngô trong năm nay. Đây là một phần của Chương trình cải cách ngành nông nghiệp, bao gồm tự cung cấp gạo và lúa mì."
595,Chính phủ Pakistan đã chuyển ba tàu cứu hộ chứa 3.000 tấn gạo để trợ cấp cho nạn hạn hán ở Sri Lanka.
596,"Vụ xuân năm 2016, Trạm Khuyến nông huyện Thường Xuân (Thanh Hóa) đã kết hợp với Cty Bayer và UBND xã Xuân Lộc tiếp tục triển khai 1 ha mô hình thâm canh lúa lai Tej Vàng bằng phương pháp SRI sử dụng viên nén nhập khẩu."
597,"Là quốc gia xuất khẩu gạo thuộc tốp đầu thế giới nhưng sản xuất và xuất khẩu gạo Việt Nam vẫn vấp phải rất nhiều khó khăn. Chọn ngã rẽ nào cho lúa gạo Việt Nam đang là câu hỏi và cũng là mục tiêu tìm kiếm của ngành lúa gạo hiện nay. Lý giải tại sao Việt Nam xuất khẩu gạo phần lớn vẫn là phân khúc thị trường gạo cấp thấp, ông Nguyễn Như Cường, Phó Cục trưởng Cục Trồng trọt cho biết, Thái Lan có cả phân khúc thị trường gạo cao cấp và phân khúc cấp thấp. Nhưng ở Thái Lan hay Campuchia, gạo cao cấp là từ loại lúa một vụ/năm, trong khi đó Việt Nam sản xuất các giống lúa ngắn ngày, năng suất cao."
598,"Theo Hiệp hội Lương thực Việt Nam, tính đến cuối tháng 1, lượng gạo tồn kho trong các doanh nghiệp khoảng hơn 955.900 tấn."
599,"Vụ lúa trên nền đất nuôi tôm và vụ ĐX 2016 - 2017, một số nông dân ở Kiên Giang đã tham gia sản xuất lúa sạch theo quy trình thông minh, giúp giảm chi phí, mang lại lợi nhuận cao"
600,"Vụ Đông Xuân ở một số địa phương khu vực Đồng bằng sông Cửu Long như huyện Tam Nông, Tháp Mười (tỉnh Đồng Tháp), huyện An Biên, Tân Biên (Kiên Giang), Sóc Trăng… đã bắt đầu bước vào đợt thu hoạch."
601,"Chính phủ Indonesia bày tỏ sự lạc quan về triển vọng sản xuất lúa gạo năm 2017 của nước này sẽ đủ để đáp ứng nhu cầu nội địa. Cơ quan hậu cần quốc gia (Bulog), được giao chức năng ổn định giá gạo, không phân bổ hạn ngạch nhập khẩu gạo trong năm 2017."
602,KTNT - Xuất khẩu gạo năm 2017 được dự báo vẫn rất khó khăn. Nhưng vẫn có những cơ hội về đầu ra cho gạo Việt Nam khi ngay từ đầu năm chúng ta đã đón nhận những tín hiệu tích cực từ các hợp đồng xuất khẩu gạo mới.
603,"Bất chấp mọi khó khăn, Việt Nam sẽ nỗ lực đạt kim ngạch xuất khẩu gạo trên 5 triệu tấn trong năm 2017. Đây là tuyên bố của VFA trong những ngày đầu năm 2017."
604,"Sau khi đạt mức sản lượng 79,17 triệu tấn trong năm 2016 – vượt mục tiêu 72 triệu tấn đặt ra trước đó, Indonesia đã lên kế hoạch xuất khẩu gạo."
605,"Theo một nhà chức trách cấp cao thuộc chính phủ Trung Quốc, nước này sẽ đạt mức giá thu mua tối thiểu đối với lúa mỳ và gạo “hợp lý hơn”, phản ánh sâu rộng hơn các điều kiện thị trường. Tuyên bố này đánh dấu động thái chính thức đầu tiên của chính phủ Trung Quốc, có thể làm giảm giá trước tình hình nguồn cung toàn cầu dồi dào."
