,category,price,gov,market,intrinsic,extrinsic,News
62,1,3,0,3,0,3,"XUẤT KHẨU GẠO CÓ THỂ ĐẠT 7 TRIỆU TẤN TRONG NĂM NAY Tại diễn đàn kết nối nông sản 970 với chủ đề ""Kết nối cung cầu chuỗi lúa gạo vùng Đồng bằng sông Cửu Long"" của Bộ Nông nghiệp và Phát triển nông thôn tổ chức ngày 19/11, ông Lê Thanh Hòa, Phó Cục trưởng Cục Chế biến và Phát triển thị trường nông sản cho biết, trong bối cảnh lạm phát và bất ổn về kinh tế ở nhiều quốc gia, Việt Nam đang hướng tới mốc 7 triệu tấn gạo được xuất khẩu trong năm nay.
"
250,1,3,0,0,0,0,"VƯỢT THÁI LAN, VIỆT NAM CÓ GIÁ GẠO XUẤT KHẨU CAO NHẤT THẾ GIỚI Dấu mốc trong lịch sử 30 năm xuất khẩu, và nhờ vậy, lợi nhuận của người nông dân đã được tăng thêm.
"
83,1,1,0,0,2,0,"LÝ DO VIỆT NAM NHẬP HÀNG TRIỆU TẤN LÚA TỪ CAMPUCHIA Nguồn lúa gạo Campuchia nhập vào Việt Nam cần được truy xuất nguồn gốc rõ ràng, tránh tình trạng đấu trộn vào nhau để xuất khẩu.
"
220,1,1,0,0,1,0,"SẢN LƯỢNG LÚA HÈ THU 2020 ƯỚC TÍNH GIẢM GẦN 120.000 TẤN Mặc dù năng suất lúa hè thu cả nước năm nay ước tính đạt 55,7 tạ/ha, tăng 0,9 tạ/ha so với vụ hè thu năm 2019 nhưng do diện tích gieo cấy giảm nên sản lượng chung toàn vụ hè thu 2020 ước tính đạt 10,83 triệu tấn, giảm 119.300 tấn.
"
312,1,3,1,3,0,0,"TRUNG QUỐC HỐI HẢ MUA GẠO CỦA VIỆT NAM, GIÁ GẠO XUẤT KHẨU TĂNG VỌT Sau khi Thủ tướng Chính phủ đồng ý cho xuất khẩu gạo bình thường từ tháng 5/2020, thị trường gạo bắt đầu khởi sắc. Từ đầu năm đến nay, Trung Quốc là một trong những thị trường nhập khẩu nhiều gạo của Việt Nam.
"
93,1,3,0,3,0,0,"THẾ GIỚI CÓ THỂ SẮP “SỐT” GIÁ GẠO? Gạo - loại lương thực chính tại nhiều nước châu Á - có thể sẽ là mặt hàng tiếp theo bước vào cơn sốt, nhiều chuyên gia nhận định khi trao đổi với hãng tin CNBC...
"
339,1,3,1,3,0,1,"LÚA GẠO CHÂU Á: GIAO DỊCH TRẦM LẮNG DO CHÍNH SÁCH GIÃN CÁCH XH VÀ HẠN CHẾ XK Các thị trường gạo chủ chốt ở Châu Á tuần 2-9/4/2020 trầm lắng do chính sách cách ly để chống Covid-19 (ở Ấn Độ) và Việt Nam tạm dừng xuất khẩu gạo để đảm bảo an ninh lương thực, trong bối cảnh giá gạo Thái Lan duy trì ở mức cao nhất trong vòng 7 năm.
"
121,1,3,0,3,0,0,"NHU CẦU GẠO TẤM LÀM THỨC ĂN CHĂN NUÔI TĂNG CAO TRÊN THẾ GIỚI Gạo tấm đang trở nên hút hàng trên thị trường thế giới khi nhu cầu gạo thay thế ngô trong thức ăn chăn nuôi gia tăng, kéo giảm đáng kể mức chênh lệch giá giữa gạo trắng 5% tấm với 100% tấm.
"
203,1,2,0,0,0,0,"XUẤT KHẨU LÔ GẠO ĐẦU TIÊN NĂM 2021 SANG SINGAPORE VÀ MALAYSIA Lô gạo gồm 1.600 tấn theo hợp đồng đã ký kết xuất sang Singapore 450 tấn và Malaysia 1.150 tấn, gồm 2 loại gạo Jasmine 85 với giá 680 USD/tấn và gạo Hương Lài giá 750 USD/tấn.
"
145,1,1,0,0,1,0,"ĐƯỢC MÙA, PHILIPPINES HẠN CHẾ NHẬP KHẨU GẠO TỪ NƯỚC TA Philippines, một nhà nhập khẩu gạo lớn, đang thực hiện các biện pháp để tạm thời hạn chế nhập khẩu gạo từ nước ta
"
150,1,0,0,0,0,0,"ĐỂ VỤ LÚA ĐÔNG XUÂN 2021-2022 ĐẠT THẮNG LỢI Tại ĐBSCL, nhìn mực nước lũ mang nặng phù sa tràn về trên đồng ruộng là có thể đoán được vụ đông xuân tới thu được bao nhiêu dạ lúa trên phần đất của mình.
"
94,1,0,0,0,0,2,"CHỦ ĐỘNG THU HOẠCH LÚA HÈ THU Thời điểm này, các trà lúa hè thu 2022 trên địa bàn Cần Thơ bước vào thu hoạch rộ. Thời tiết diễn biến phức tạp và trời thường xuyên có mưa đã ít nhiều gây khó khăn cho việc thu hoạch lúa của nông dân. Tuy nhiên, với sự quan tâm hỗ trợ tích cực của ngành chức năng và chủ động của nông dân, nhìn chung các diện tích lúa hè thu trên địa bàn thành phố đã và đang được thu hoạch và tiêu thụ kịp thời.
"
278,1,3,0,1,0,2,"GIÁ GẠO VIỆT NAM LÊN CAO NHẤT 3 TUẦN, TRONG KHI GIÁ GẠO THÁI GIẢM MẠNH VÌ NHU CẦU YẾU Tuần này, giá gạo xuất khẩu của Việt Nam tăng sau khi những trận mưa lớn dấy lên lo ngại về hoạt động thu hoạch, trong khi giá gạo Thái lan giảm xuống mức thấp nhất trong 4 tháng vì đồng bath mất giá và nhu cầu yếu.
"
290,1,3,0,3,0,0,"GIÁ GẠO VIỆT LẬP ĐỈNH Tuần 28.5 - 4.6, giá gạo xuất khẩu của Việt Nam đã đạt mức cao nhất trong vòng 8 năm qua. Gạo trắng 5% tấm xuất khẩu của Việt Nam tăng lên 475 USD/tấn - mức cao nhất kể từ đầu năm 2012.
"
279,1,1,2,0,0,0,"MUỐN ƯU ĐÃI THUẾ VÀO EU, DOANH NGHIỆP GẠO PHẢI ĐƯỢC XÁC NHẬN Đó là nội dung mà dự thảo “Nghị định hướng dẫn quy trình đăng ký chứng nhận chủng loại gạo xuất khẩu vào EU để được hưởng ưu đãi hạn ngạch” đang được Bộ NN&PTNT lấy ý kiến trước khi trình Chính phủ thông qua.
"
335,1,0,0,0,0,0,"DOANH NGHIỆP XUẤT KHẨU GẠO GẶP KHÓ VÌ TRỤC TRẶC TỜ KHAI HẢI QUAN Suốt từ sáng đến tối 11/4, doanh nghiệp không thể truy cập hệ thống làm tờ khai hải quan nhưng đến sáng 12/4 thì hạn ngạch đã được đăng kí hết.
"
180,1,2,0,0,1,1,"SẢN LƯỢNG LÚA KIÊN GIANG VẪN TĂNG DÙ MẤT TRẮNG GẦN 4.000HA Dù gần 4.000ha lúa vụ mùa bị thiệt hại mất trắng nhưng nhờ năng suất vụ đông xuân cao nên sản lượng lúa thu hoạch của Kiên Giang vẫn tăng.
"
13,1,0,3,2,3,2,"DỰ TRỮ GẠO ẤN ĐỘ GẤP BA LẦN MỤC TIÊU, GIẢM BỚT LO NGẠI VỀ NGUỒN CUNG Dự trữ gạo của Ấn Độ cao gần gấp ba lần so với mục tiêu vào đầu tháng 8, hai nguồn tin chính phủ tại quốc gia sản xuất gạo lớn thứ hai thế giới cho biết hôm thứ Năm, ngày 3/8/2023.
"
326,1,0,0,0,0,0,"CÓ TIẾP TỤC ÁP DỤNG HẠN NGẠCH XUẤT KHẨU GẠO SAU NHỮNG LÙM XÙM TRONG THÁNG 4? Bộ Công Thương đã nhận trách nhiệm trước những bất cập phát sinh khi triển khai một quyết định chưa từng có trong nhiều năm qua, đó là áp dụng hạn ngạch xuất khẩu gạo. Theo đó, hàng ngàn tấn gạo bị kẹt tại cảng, khiến doanh nghiệp gặp nhiều khó khăn.
"
173,1,1,1,1,3,2,"THÁI LAN TRIỂN KHAI HÀNG LOẠT CHÍNH SÁCH THÚC ĐẨY XUẤT KHẨU GẠO Lượng xuất khẩu gạo Thái giảm mạnh xuống mức thấp nhất trong 2 thập kỷ trong năm 2020, do thiếu container vận chuyển hàng, cước vận chuyển tăng vọt và hạn hán làm giảm sản lượng. Thái Lan tụt xuống vị trí thứ 3 về xuất khẩu gạo trên thế giới, sau Ấn Độ và Việt Nam.
"
286,1,2,0,0,0,0,"THÁI LAN THÚC ĐẨY CHIẾN LƯỢC SẢN XUẤT LÚA GẠO THEO ĐỊNH HƯỚNG THỊ TRƯỜNG Chính phủ Thái Lan dự kiến thúc đẩy 7 sản phẩm gạo và phát triển giống lúa theo chiến lược sản xuất định hướng thị trường trong giai đoạn 2020-2024.
"
146,1,2,3,2,0,0,"XUẤT CẤP LƯỢNG GẠO DỰ TRỮ QUỐC GIA LỚN NHẤT TỪ TRƯỚC ĐẾN NAY Năm 2021, Tổng cục Dự trữ Nhà nước đã giao các đơn vị khu vực thực hiện xuất cấp 253.303 tấn gạo từ nguồn dự trữ quốc gia cho các địa phương để hỗ trợ người dân, với trị giá khoảng 2.912 tỷ đồng; đồng thời xuất cấp các vật tư, thiết bị dự trữ quốc gia trị giá khoảng 142,1 tỷ đồng.
"
39,1,0,1,0,0,0,"NGHĨ VỀ 1 TRIỆU HA CHUYÊN CANH LÚA CHẤT LƯỢNG CAO VÀ TĂNG TRƯỞNG XANH Vùng chuyên canh lúa 1 triệu ha có quy mô rất lớn, vì vậy cần có sự lựa chọn các bước đi một cách khoa học theo phương châm “làm chắc, kết quả thật”.
"
225,1,2,3,2,0,0,"BỔ SUNG 274 TỈ ĐỒNG MUA BÙ GẠO DỰ TRỮ QUỐC GIA Ủy ban Thường vụ Quốc hội quyết nghị bổ sung 274 tỉ đồng từ nguồn dự phòng ngân sách Trung ương năm 2020 để mua bù 23.000 tấn gạo đã xuất cấp với mục đích cứu trợ, viện trợ.
"
303,1,2,0,0,1,0,"THÁI LAN DỰ BÁO SẼ THU HOẠCH 24 TRIỆU TẤN GẠO TRONG NIÊN VỤ 2020-2021 Cục Thủy lợi Hoàng gia Thái Lan (RID) dự báo quốc gia Đông Nam Á này sẽ có nhiều mưa hơn trong năm 2020 và sẽ thu hoạch được 24 triệu tấn gạo trong niên vụ 2020-2021.
"
337,1,2,3,2,0,0,"MỚI MUA ĐƯỢC 7.700 TẤN GẠO DỰ TRỮ QUỐC GIA Ngày 10/4, Thủ tướng Chính phủ đồng ý cho phép xuất khẩu 400.000 tấn gạo trong tháng 4/2020. Ngay trong ngày 10/4, Bộ Công Thương công bố hạn ngạch xuất khẩu gạo trong tháng 4/2020, áp dụng đối với mặt hàng gạo (mã hàng hóa HS là 10.06) với số lượng 400.000 tấn.
"
182,1,1,0,0,2,0,"VIỆT NAM NGUY CƠ MẤT QUYỀN DỰ THI 'GẠO NGON NHẤT THẾ GIỚI' Ban tổ chức cuộc thi vừa cảnh báo, Việt Nam có thể mất quyền dự thi do nhiều công ty tự ý gắn mác ""gạo ngon nhất thế giới"" trên sản phẩm bán ra thị trường.
"
193,1,1,0,0,0,0,"GẠO ST25 BỊ DOANH NGHIỆP MỸ ĐĂNG KÝ THƯƠNG HIỆU 5 doanh nghiệp tại Mỹ đang chờ được bảo hộ thương hiệu gạo ST25 - gạo ngon nhất thế giới của Việt Nam, theo Văn phòng Sáng chế và Thương hiệu Mỹ (USPTO).
"
217,1,3,0,0,0,0,"NĂM 2020, NĂM THÀNH CÔNG CỦA NGÀNH GẠO VIỆT NAM Gạo là điểm sáng trong số ít các mặt hàng nông sản xuất khẩu trong năm 2020 khi giá trị xuất khẩu mang về vẫn tăng trưởng mạnh, đặc biệt giá gạo liên tục tăng cao đã đánh dấu mức tăng lịch sử trong khoảng một thập kỉ của mặt hàng này.
"
192,1,0,0,0,0,0,"VIỆT NAM CÓ 207 THƯƠNG NHÂN ĐỦ ĐIỀU KIỆN KINH DOANH XUẤT KHẨU GẠO Cần Thơ là địa phương có số lượng thương nhân kinh doanh xuất khẩu gạo lớn nhất cả nước với 44 doanh nghiệp. Tiếp đến là TP HCM có 38 doanh nghiệp, Long An 25 doanh nghiệp, An Giang 21 doanh nghiệp.
"
246,1,3,0,3,0,1,"GIÁ GẠO ẤN ĐỘ TIẾP TỤC TĂNG NHƯNG VẪN THẤP HƠN 100 USD/TẤN SO VỚI GẠO VIỆT, THÁI LAN Tuần qua, giá gạo xuất khẩu của Ấn Độ tiếp tục đi lên, ghi nhận tuần tăng thứ ba liên tiếp khi người mua tìm tới nguồn cung giá rẻ hơn từ nhà xuất khẩu gạo hàng đầu thế giới, vốn vẫn đang phải đối mặt với những trận lũ lụt và đại dịch COVID-19.
"
29,1,3,0,3,0,0,"THẾ GIỚI ĐANG RẤT CẦN GẠO VIỆT NAM XUẤT KHẨU' Nhiều doanh nghiệp, địa phương nhìn nhận khả năng xuất khẩu gạo trong thời gian tới với cơ hội lớn khi giá cả đang rất tốt.
"
333,1,2,1,0,0,0,"THÁI LAN HIỆN KHÔNG CÓ KẾ HOẠCH HẠN CHẾ XUẤT KHẨU GẠO Thái Lan hiện không có kế hoạch hạn chế xuất khẩu gạo
"
244,1,0,0,0,0,0,"XUẤT NHẬP KHẨU VIỆT NAM VÀ PHÁP THÁNG 7/2020: XUẤT KHẨU GẠO GIẢM HƠN 70% Việt Nam xuất khẩu hàng hóa sang Pháp 319 triệu USD giảm 16% so với tháng 6. Đồng thời, kim ngạch nhập khẩu cũng giảm 2% đạt 138,7 triệu USD.
"
251,1,3,0,3,0,0,"XUẤT KHẨU GẠO VIỆT NAM SANG THỊ TRƯỜNG CHÂU PHI TIẾP TỤC TĂNG Theo ông Hoàng Đức Nhuận - Tham tán Thương mại Việt Nam tại Algeria, kiêm các thị trường Mali, Niger, Senegal và Gambia, xuất khẩu gạo của Việt Nam sang thị trường châu Phi đang tăng mạnh trong 6 tháng đầu năm 2020 và dự kiến sẽ còn tiếp tục tăng cao trong những tháng tới và ngay cả trong năm 2021.
"
139,1,3,0,0,0,2,"BẠC LIÊU ỨNG PHÓ HẠN, MẶN MÙA KHÔ 2021-2022 Đồng bằng sông Cửu Long đang bước vào giai đoạn cao điểm mùa khô 2021-2022, dự báo xâm nhập mặn sẽ diễn ra sớm, vào sâu nội địa do nước thượng nguồn giảm (đỉnh điểm dự kiến là tháng 3 và tháng 4 tới).
"
36,1,3,3,3,0,0,"GIÁ GẠO XUẤT KHẨU TIẾP TỤC TĂNG TRONG NĂM 2023, CỔ PHIẾU NÀO TIỀM NĂNG? Giá xuất khẩu gạo được kỳ vọng sẽ tiếp tục tăng trong năm 2023 do nhu cầu dự trữ lương thực ở nhiều quốc gia tăng, Ấn Độ chưa có kế hoạch dỡ bỏ lệnh cấm xuất khẩu gạo tấm hay bỏ áp thuế 20% xuất khẩu gạo trắng trong năm 2023...
"
61,1,2,0,0,2,0,"THỊ TRƯỜNG LÚA GIỐNG VỤ ĐÔNG XUÂN 2022-2023: ĐA DẠNG GIỐNG LÚA, NÔNG DÂN CÓ NHIỀU LỰA CHỌN Ðể sản xuất thắng lợi vụ lúa đông xuân, những năm gần đây nông dân rất quan tâm khâu chọn lựa giống tốt, gạo thơm ngon, chất lượng cao để bán được giá cao. Năm nay, các cơ sở sản xuất, kinh doanh lúa giống trên địa bàn TP Cần Thơ đưa ra thị trường nhiều loại giống lúa thơm, chất lượng cao, nhà nông thêm nhiều lựa chọn.
"
181,1,3,2,0,0,0,"80.000 TẤN GẠO XUẤT KHẨU THEO HẠN NGẠCH EVFTA SẼ CÓ HIỆU LỰC TỪ 2022 EU vừa phân bổ thực thi hạn ngạch thuế quan dành cho 80.000 tấn gạo Việt Nam xuất khẩu vào khu vực này theo Hiệp định EVFTA, bắt đầu từ đầu năm sau.
"
116,1,0,0,0,0,0,"HIỆU QUẢ TỪ LIÊN KẾT SẢN XUẤT LÚA-GẠO HỮU CƠ ST25 TẠI QUẢNG BÌNH Vụ Đông-Xuân 2021-2022, Tổng công ty Sông Gianh thực hiện dự án liên kết kinh doanh lúa-gạo hữu cơ ST25 tại thôn Tiên Phan (xã Quảng Tiên, thị xã Ba Đồn) với diện tích 26ha.
"
239,1,3,0,3,0,1,"GIÁ GẠO XUẤT KHẨU VIỆT NAM TIẾN GẦN MỐC 500 USD/TẤN Tuần qua, giá gạo Việt Nam tăng thêm 5 USD/tấn so với tuần trước lên 490 - 495 USD/tấn vì nguồn cung thấp. Tại Ấn Độ, giá cũng tăng lên mức cao nhất gần 18 tháng vì những gián đoạn hậu cần do dịch COVID-19.
"
87,1,2,0,0,2,0,"ĐỀ ÁN 1 TRIỆU HÉC TA LÚA CHẤT LƯỢNG CHƯA TRIỂN KHAI, ĐBSCL ĐÃ VƯỢT CHỈ TIÊU ĐỀ RA! Đề án sản xuất 1 triệu héc ta lúa chất lượng cao ở Đồng bằng sông Cửu Long (ĐBSCL) được Chính phủ giao cho Bộ Nông nghiệp và Phát triển nông thôn chủ trì vẫn chưa được triển khai. Tuy nhiên, ở thời điểm hiện tại, theo các báo cáo của ngành nông nghiệp, vùng ĐBSCL đã có trên 1 triệu héc ta diện tích sản xuất các giống lúa chất lượng cao.
"
317,1,0,0,0,0,0,"HẾT GẠO CHẠY RÔNG, NHẤT NÔNG, NHÌ SĨ' “Nhất sĩ nhì nông, hết gạo chạy rông, nhất nông nhì sĩ”. Từ ngàn xưa, cha ông ta đã coi trọng nông nghiệp và nhận biết vai trò to lớn của nông nghiệp.
"
349,1,3,0,3,0,1,"GIÁN ĐOẠN NGUỒN CUNG LƯƠNG THỰC DO COVID-19, GIÁ GẠO TĂNG KỶ LỤC 7 NĂM Giá gạo đang ở mức cao nhất trong 7 năm do ảnh hưởng từ việc bùng phát Covid-19 dẫn đến các nhà nhập khẩu gạo tăng cường tích trữ trong khi các nhà xuất khẩu lại hạn chế xuất khẩu.
"
297,1,3,0,0,0,0,"VIỆT NAM TRÚNG THẦU BÁN 60.000 TẤN GẠO CHO PHILIPPINES Trong phiên mở thầu nhập khẩu 300.000 tấn gạo theo cơ chế liên Chính phủ (G2G) diễn ra hôm 8-6, Philippines chỉ mua được 189.000 tấn. Trong vai trò nhà cung ứng, Việt Nam trúng thầu bán được 60.000 tấn.
"
316,1,2,3,2,0,0,"GÓC KHUẤT GẠO DỰ TRỮ QUỐC GIA Để mua đủ 190.000 tấn gạo dự trữ năm 2020 theo chỉ đạo của Thủ tướng, Tổng cục Dự trữ và 22 cục Dự trữ khu vực thông báo ngày 12-5 sẽ đấu thầu lại để mua 182.300 tấn gạo. Nhà nước phải chi thêm khoảng 200 tỉ đồng?
"
302,1,3,0,3,0,0,"THỊ TRƯỜNG LÚA GẠO KHỞI SẮC, CÙNG NÔNG DÂN NẮM BẮT CƠ HỘI Giá lúa gạo đi lên trong khi nguồn cung hạn chế, nhu cầu lương thực ở các nước gia tăng là cơ hội tốt để ngành lúa gạo Việt Nam bứt phá.
"
57,1,3,0,0,0,0,"GIÁ GẠO XUẤT KHẨU CỦA VIỆT NAM ĐANG CAO NHẤT THẾ GIỚI Năm 2022, Việt Nam dự kiến xuất khẩu hơn 7 triệu tấn gạo, trị giá 3,5 tỉ USD. Đáng chú ý là giá gạo xuất khẩu của Việt Nam đang cao nhất thế giới.
"
259,1,0,0,0,0,0,"XUẤT NHẬP KHẨU VIỆT NAM VÀ PHILIPPINES THÁNG 7/2020: VIỆT NAM XUẤT KHẨU CHỦ YẾU GẠO Trong tháng 7/2020, Việt Nam xuất khẩu sang Philippines gần 271 triệu USD. Nâng tổng kim ngạch hai chiều lên 426,7 triệu USD.
"
102,1,2,0,0,0,0,"THANH HÓA CẦN 4.300 TẤN LÚA GIỐNG ĐỂ GIEO CẤY VỤ THU MÙA Vụ thu mùa năm 2022, Thanh Hóa phấn đấu gieo cấy 114.650 ha lúa. Theo tính toán của ngành nông nghiệp, với diện tích nói trên, vụ thu mùa sắp tới toàn tỉnh cần tới 4.300 tấn lúa giống các loại.
"
169,1,0,0,0,0,2,"HƠN 1.000 HA LÚA BỊ NGẬP, HƯ HẠI DO BÃO SỐ 5 Ban chỉ đạo Trung ương về Phòng chống thiên tai cho biết, do ảnh hưởng của bão số 5 và mưa lớn đã có 2 phương tiện bị chìm, 2 tàu của Đà Nẵng bị mắc cạn, nhiều ngôi nhà bị tốc mái và hơn 1.000 ha lúa bị ngập úng.
"
199,1,1,0,0,0,0,"NÂNG TẦM GẠO MIỀN TÂY Bước sang tháng 4-2021, nông dân ĐBSCL đang thu hoạch những trà lúa đông xuân cuối cùng trên diện tích 1,5 triệu ha, sản lượng khoảng 10,7 triệu tấn. Giá lúa những ngày qua sụt giảm nhưng vẫn ở mức cao do nông dân tập trung sản xuất các giống lúa cung ứng phân khúc gạo cao cấp xuất khẩu. Đây được xem là một thay đổi quan trọng của nông dân trồng lúa miền Tây.
"
59,1,1,3,1,0,0,"ẤN ĐỘ CHÍNH THỨC DỠ BỎ LỆNH CẤM XUẤT KHẨU ĐỐI VỚI GẠO VIỆT NAM Cục Ngoại thương (DGFT) thuộc Bộ Thương mại và Công nghiệp Ấn Độ đã đưa ra thông báo chính thức về việc dỡ bỏ lệnh cấm áp đặt với việc xuất khẩu gạo hữu cơ không phải gạo basmati, gồm cả gạo tấm.
"
30,1,0,0,0,0,0,"VÌ SAO GẠO VIỆT CHƯA THỂ XÂY DỰNG ĐƯỢC THƯƠNG HIỆU MẠNH KHI XUẤT KHẨU ? Trong các loại nông sản, gạo xây dựng được thương hiệu mạnh nhất. Gạo Việt cũng đã xuất khẩu được vào một số thị trường khó tính trên thế giới. Thế nhưng theo GS Võ Tòng Xuân, 'cha đẻ' của nhiều giống gạo ngon ở ĐBSCL, để xây dựng được gạo trở thành thương hiệu mạnh, nói đến gạo, nghĩ đến Việt Nam thì còn rất nhiều việc phải làm.
"
298,1,3,0,2,0,1,"GIÁ GẠO VIỆT DỰ KIẾN TĂNG TRONG THỜI GIAN TỚI NHỜ NHU CẦU MỚI TỪ PHILIPPINES, MALAYSIA Giá gạo xuất khẩu Việt Nam duy trì ở đỉnh hai năm nhờ các quốc gia đang đối phó với đại dịch COVID-19 tìm cách tích trữ gạo. Trong khi đó, giá gạo Ấn Độ giảm trong tuần này từ mức cao nhất trong một năm vì nhu cầu chậm lại.
"
149,1,2,1,0,3,0,"MẠNH MẼ GIẢM GIỐNG ĐỂ GIẢM ÁP LỰC PHÂN BÓN Thứ trưởng Lê Quốc Doanh cho rằng, cần tập trung tuyên truyền mạnh mẽ các tiến bộ kỹ thuật để giảm được ít nhất 1/3 lượng phân bón so với hiện nay.
"
228,1,1,0,1,0,0,"CAMPUCHIA MUỐN CẠNH TRANH VỚI VIỆT NAM VỀ XUẤT KHẨU GẠO TRẮNG Bộ trưởng Nông nghiệp Campuchia đang kêu gọi các nhà xuất khẩu gạo trong nước tập trung hơn vào xuất khẩu gạo trắng để khai thác tiềm năng của thị trường gạo giá rẻ thế giới.
"
248,1,2,2,3,2,0,"BỘ TRƯỞNG MAI TIẾN DŨNG: SANG TUẦN TỚI, CHÚNG TA SẼ XUẤT LÔ GẠO ĐẦU TIÊN, LÀ GẠO NGON NHẤT SANG THỊ TRƯỜNG CHÂU ÂU, GIÁ CAO! Nhấn mạnh các thành tích của nông nghiệp và cơ hội từ EVFTA, Bộ trưởng, Chủ nhiệm VPCP Mai Tiến Dũng rất kỳ vọng trong tương lai sẽ có nhiều sản phẩm nông nghiệp tiếp tục được xuất khẩu sang thị trường châu Âu - thị trường có tiềm năng rất lớn.
"
240,1,3,0,3,1,0,"GIÁ GẠO VIỆT NAM CÓ THỂ TIẾP TỤC TĂNG TRONG NGẮN HẠN Nguồn cung mỏng và hoạt động tích trữ gạo trong nước khiến nhiều thương lái dự đoán giá gạo Việt Nam tiếp tục tăng cao trong những tháng tới cho đến khi vụ thu hoạch mới diễn ra vào tháng 10.
"
137,1,2,0,0,3,2,"PHÁT TRIỂN ĐỒNG BẰNG SÔNG CỬU LONG THÀNH HÌNH MẪU THÍCH ỨNG BIẾN ĐỔI KHÍ HẬU Đồng bằng sông Cửu Long đang có sự dịch chuyển của nguồn nhân lực giữa các địa bàn trong bối cảnh mặt bằng chung về trình độ còn thấp, trong khi hạ tầng giao thông và hạ tầng phục vụ phát triển sản xuất nông nghiệp chưa đồng bộ, ảnh hưởng tiêu cực của biến đổi khí hậu...
"
263,1,1,0,1,0,0,"XUẤT KHẨU GẠO CỦA THÁI LAN SANG TÂY PHI SỤT GIẢM ĐẾN HƠN 257% Chuyên gia dự báo rằng kim ngạch nhập khẩu gạo của châu Phi có thể không vượt quá 16 triệu tấn năm 2020 trong khi năm 2019 là 16,7 triệu tấn.
"
307,1,0,0,0,1,0,"SẢN LƯỢNG LÚA CỦA AN GIANG DỰ KIẾN ĐẠT TRÊN 4 TRIỆU TẤN TRONG NĂM 2020 Mặc dù xuất khẩu gạo của An Giang giảm cả lượng và giá trị trong 4 tháng đầu năm 2019 nhưng việc khơi thông trở lại tình hình xuất khẩu và năng suất lúa tăng, An Giang dự kiến sản lượng lúa năm nay sẽ cao hơn năm 2019 và các năm trước.
"
327,1,0,0,0,0,0,"ĐỒNG THÁP KIẾN NGHỊ THỦ TƯỚNG GỠ KHÓ CHO DOANH NGHIỆP KINH DOANH XUẤT KHẨU GẠO Trước mắt, cho thông quan ngay với những lô hàng đã nằm tại cảng chờ xuất, cho mặt hàng gạo nếp xuất khẩu, xem xét cho doanh nghiệp FDI được phân phối mặt hàng gạo tại thị trường nội địa trong điều kiện mặt hàng gạo được điều hành xuất khẩu theo hạn ngạch.
"
17,1,3,3,1,0,0,"SAU ẤN ĐỘ, THÊM NGA VÀ UAE CẤM XUẤT KHẨU GẠO Mới đây, Nga và UAE đã thông báo ngừng bán gạo ra nước ngoài, chỉ một tuần sau lệnh cấm của Ấn Độ. Điều này có thể gây ra những xáo trộn trong việc mua bán ở nhiều quốc gia và đẩy giá gạo tăng cao."
330,1,0,1,0,0,0,"HẠN CHẾ XUẤT KHẨU GẠO: DOANH NGHIỆP RƠI CẢNH TIẾN THOÁI LƯỠNG NAN Theo phản ánh của các doanh nghiệp (DN) xuất khẩu gạo, nếu hạn chế số lượng gạo xuất khẩu như Bộ Công Thương đề xuất Thủ tướng, sẽ khiến DN tiến thoái lưỡng nan, nhiều DN có thể bị thua lỗ.
"
148,1,1,0,0,3,0,"ỨNG DỤNG MẠ KHAY, CẤY MÁY GIẢM TỐI THIỂU MỘT NỬA LƯỢNG HẠT GIỐNG Ứng dụng sản xuất lúa bằng mạ khay, máy cấy đã giảm tối thiểu 1/2 lượng hạt giống lúa so với tập quán gieo sạ phổ biến bằng tay hay máy phun ở Sóc Trăng.
"
113,1,2,3,2,0,1,"GẠO DỰ TRỮ NĂM 2022 TĂNG 30.000 TẤN SO VỚI NĂM 2021 Theo Tổng cục Dự trữ Nhà nước, số lượng gạo dự trữ năm 2022 tăng 30.000 tấn so với năm 2021 nhằm đáp ứng nhu cầu trong bối cảnh dịch bệnh và tăng cường nguồn lực dự trữ quốc gia.
"
22,1,2,1,0,0,0,PHÁT TRIỂN ĐA DẠNG HÓA CÁC THỊ TRƯỜNG XUẤT KHẨU GẠO Phó Thủ tướng Lê Minh Khái vừa ký Quyết định số 583/QĐ-TTg ngày 26/5/2023 phê duyệt Chiến lược phát triển thị trường xuất khẩu gạo của Việt Nam đến năm 2030 (Chiến lược)
236,1,2,1,2,0,0,"ỦY BAN THƯỜNG VỤ QUỐC HỘI THỐNG NHẤT BỔ SUNG 274 TỶ ĐỒNG MUA BÙ GẠO DỰ TRỮ Tiếp tục chương trình Phiên họp thứ 48, sáng 15/9, với 100% đại biểu tán thành, Ủy ban Thường vụ Quốc hội đã thông qua dự thảo Nghị quyết về việc bổ sung nhóm hàng vật tư, thiết bị y tế vào Danh mục hàng dự trữ quốc gia; dự thảo Nghị quyết về việc bổ sung kinh phí mua bù gạo dự trữ quốc gia.
"
49,1,1,0,1,0,0,"GẠO VIỆT DẦN VẮNG BÓNG TẠI THỊ TRƯỜNG TRUNG QUỐC Xuất khẩu gạo năm 2022 đạt hơn 7,1 triệu tấn, thu về 3,45 tỷ USD, vượt xa mục tiêu đề ra. Tuy nhiên, khách hàng lớn nhất của gạo Việt vẫn là Philippines, còn tại thị trường Trung Quốc gạo Việt dần vắng bóng.
"
